Store,City,State,Zip,Type,Sum_Dry_Grocery,Sum_Dairy,Sum_Frozen_Food,Sum_Meat,Sum_Produce,Sum_Floral,Sum_Deli,Sum_Bakery,Sum_General_Merchandise,total_sales,per_grocery,per_dairy,per_frozen,per_meat,per_produce,per_floral,per_deli,per_bakery,per_merchandise,Cluster
S0001,Escondido,CA,92027,Existing,10845787.65,2423389.38,1814872.88,2531382.34,2284388.7,159142.23,1023812.9,835599.06,1590570.68,23508946,0.461347252658626,0.10308371034584,7.71992449172328e-02,0.107677406719978,9.71710386335483e-02,6.76943279379688e-03,4.35499277594155e-02,3.55438759355694e-02,6.7658102579333e-02,3
S0002,Lakeside,CA,92040,Existing,7931072.94,1844188.83,1366677.52,1991807.66,1755293.15,128935.92,689786.42,514864.68,1111992.45,17334620,0.457527937733853,0.106387612188788,7.88409275772991e-02,0.114903451013059,0.101259395937148,7.4380586364166e-03,3.97924165629244e-02,2.9701526771282e-02,6.41486487733795e-02,3
S0003,Los Angeles,CA,90026,Existing,12741875.44,3095321.58,2087437.15,3468989.12,3792143.03,291259.69,1262874.27,1091930.44,2408831.27,30240662,0.421349090836702,0.102356277121182,6.90274951652844e-02,0.114712737439412,0.125398810052505,9.63139265932736e-03,4.17608010697649e-02,3.61080203865908e-02,7.96553749385513e-02,2
S0004,San Marcos,CA,92078,Existing,12688533.89,2710746.38,2240847.44,3565375.84,2802811.88,170822.64,1166388.77,962155.820000001,1606208.31,27913891,0.454559842266347,9.71110183098444e-02,8.02771437346373e-02,0.127727655023085,0.10040921489591,6.11962839576898e-03,4.1785244844583e-02,3.44687102202986e-02,5.75415412347924e-02,3
S0005,Los Angeles,CA,90019,Existing,12248085.57,2957003.74,2402445.89,2834435.52,3648309.02,247017.36,984736.25,629055.94,1874796.88,27825886,0.440168754015595,0.106268089361108,8.63385226978936e-02,0.101863262143746,0.131112052281103,8.87725048539336e-03,3.53892145608589e-02,2.26068611076751e-02,6.73759994560461e-02,2
S0006,Santee,CA,92071,Existing,15921985.74,3414385.76,2577624.88,3702008.49,3524245.59,286180.46,1603464.11,1226324.72,2369201.12,34625421,0.459835152329267,9.86092200871724e-02,7.44431347130768e-02,0.106915912733595,0.101782028585299,8.26503914566122e-03,4.63088697174253e-02,3.54168898047478e-02,6.84237491292886e-02,3
S0007,Camarillo,CA,93010,Existing,13644163.44,3152200.12,2752056.93,3553409,3192688.95,241915.18,1428888.69,931336.009999999,1966428.99,30863087,0.44208680226965,0.102134958826381,8.91698529703137e-02,0.115134594280864,0.103446844121588,7.83833386465845e-03,4.62976594013425e-02,3.01763725060944e-02,6.37145918034706e-02,3
S0008,Los Angeles,CA,90020,Existing,12503176.41,3173008.04,2343931.3,3118893.04,3609692.16,229334.44,951990.47,653608.200000001,2598245.71,29181880,0.428456850963681,0.108732132405452,8.03214631819472e-02,0.106877728234096,0.123696354038876,7.85879593775315e-03,3.26226572791061e-02,2.23977413381181e-02,8.90362687393683e-02,2
S0009,Lancaster,CA,93536,Existing,17990212.13,4083162.02,3134343.14,4837013.88,4210541.86,296476.2,1798155.15,1047732.42,3280983.51,40678620,0.442252272323889,0.100376119445547,7.70513635909969e-02,0.118908013103689,0.103507490175429,7.28825609128333e-03,4.4203936859215e-02,2.57563412918137e-02,8.0656214738848e-02,3
S0010,Montecito,CA,93108,Existing,9364058.9,2495117.23,1743731.4,2325539.02,2639823.51,225352.37,805192.95,825864.13,1279248.61,21703928,0.43144535403914,0.114961551199396,8.0341742748133e-02,0.107148301450318,0.121628836494482,1.03830223727244e-02,3.70989504756927e-02,3.80513670152242e-02,5.89408797338436e-02,2
S0011,Mira Loma,CA,91752,Existing,10163008.45,2104841.34,1609834.78,2719787.7,2205228.62,176845.1,1091045.18,726534.57,1598547.88,22395674,0.453793373220204,9.39842819644544e-02,7.18815062230321e-02,0.121442547341955,9.84667226358091e-02,7.89639552710046e-03,4.87167825357701e-02,3.24408441558847e-02,7.13775294282279e-02,3
S0012,Lompoc,CA,93436,Existing,22920867.6,4784134.92,3657381.26,5626478.83,4639016.01,335699.97,2216645.21,914460.49,4091856.84,49186541,0.46599876986674,9.72651221804762e-02,7.43573584489302e-02,0.114390618157109,9.43147437426023e-02,6.82503715803069e-03,4.50660925719497e-02,1.85916812080768e-02,8.31905793090838e-02,1
S0013,Riverside,CA,92506,Existing,17451783.56,3553516.21,2951489.37,4467174.88,3629467.14,309895.27,1812614.94,1342741.95,3650467.09,39169150,0.445549202880328,9.07223212655878e-02,7.53523977415899e-02,0.114048297703678,9.26613710024342e-02,7.91171802298493e-03,4.62765962498548e-02,3.42805996555963e-02,9.31975059453677e-02,1
S0014,Irvine,CA,92620,Existing,13770222.43,3029633.62,2391810.25,3058413.55,3311035.35,330321.91,1082305.37,636768.63,3377451.51,30987963,0.444373269388504,9.77680791731938e-02,7.71851395975915e-02,9.86968246347783e-02,0.10684908039938,1.06596845362181e-02,3.49266381271979e-02,2.0548902488363e-02,0.108992369391947,1
S0015,San Diego,CA,92131,Existing,16733288.07,3689264.26,2908692.42,3735002.13,3921200.02,287081.34,1306527.72,937785.14,3834916.56,37353758,0.447967994813266,9.87655448214876e-02,7.78688029193743e-02,9.99899964549752e-02,0.104974712852185,7.68547410945909e-03,3.49771425943275e-02,2.51055098659685e-02,0.102664812466794,1
S0016,El Cajon,CA,92020,Existing,11144879.86,2135270.92,1823002.86,2570843.14,2065999.38,145993.89,1075451.66,670693.26,1720661.82,23352797,0.477239615451631,9.14353394156597e-02,7.80635767098905e-02,0.110087161721998,8.84690334952168e-02,6.25166612804453e-03,4.6052370514761e-02,2.87200398307749e-02,7.36811877395243e-02,3
S0017,Laguna Niguel,CA,92677,Existing,13818627.34,3158295.28,2484711.41,3081529.14,4215854.25,422332.61,1288667.35,890682.47,2180252.8,31540953,0.438116988411859,0.100133159578279,7.87773092969005e-02,9.76993035055091e-02,0.133662868398428,1.33899762001484e-02,4.0856956668367e-02,2.82389206819464e-02,6.91245061618779e-02,2
